"","Name","Position","Age","Season","Transfer_fee","League_to"
"1383","Nicolás Navarro","Goalkeeper","22","2007-2008",4000000,"Serie A"
"1384","Dimitri Payet","Attacking Midfield","20","2007-2008",4000000,"Ligue 1"
"1385","Gorka Iraizoz","Goalkeeper","26","2007-2008",4000000,"LaLiga"
"1386","Antonio Floro Flores","Centre-Forward","24","2007-2008",4000000,"Serie A"
"1387","Adel Taarabt","Attacking Midfield","18","2007-2008",4000000,"Premier League"
"1388","Cata Díaz","Centre-Back","27","2007-2008",4000000,"LaLiga"
"1389","Daniele Galloppa","Central Midfield","22","2007-2008",3950000,"Serie A"
"1390","Robinho","Left Winger","24","2008-2009",43000000,"Premier League"
"1391","Dimitar Berbatov","Centre-Forward","27","2008-2009",38000000,"Premier League"
"1392","Dani Alves","Right-Back","25","2008-2009",35500000,"LaLiga"
"1393","Klaas-Jan Huntelaar","Centre-Forward","25","2008-2009",27000000,"LaLiga"
"1394","Ronaldinho","Attacking Midfield","28","2008-2009",25000000,"Serie A"
"1395","Ricardo Quaresma","Right Winger","24","2008-2009",24600000,"Serie A"
"1396","Robbie Keane","Centre-Forward","28","2008-2009",24000000,"Premier League"
"1397","Jô","Centre-Forward","21","2008-2009",24000000,"Premier League"
"1398","Amauri","Centre-Forward","28","2008-2009",22800000,"Serie A"
"1399","Javier Mascherano","Defensive Midfield","24","2008-2009",22500000,"Premier League"
"1400","David Bentley","Right Midfield","23","2008-2009",22000000,"Premier League"
"1401","Marouane Fellaini","Central Midfield","20","2008-2009",21760000,"Premier League"
"1402","Luka Modric","Central Midfield","22","2008-2009",21000000,"Premier League"
"1403","Bosingwa","Right-Back","25","2008-2009",20500000,"Premier League"
"1404","Lassana Diarra","Defensive Midfield","23","2008-2009",20000000,"LaLiga"
"1405","Nigel de Jong","Defensive Midfield","24","2008-2009",18000000,"Premier League"
"1406","Roman Pavlyuchenko","Centre-Forward","26","2008-2009",17400000,"Premier League"
"1407","Aleksandr Hleb","Attacking Midfield","27","2008-2009",17000000,"LaLiga"
"1408","Robbie Keane","Centre-Forward","28","2008-2009",16700000,"Premier League"
"1409","Andrey Arshavin","Second Striker","27","2008-2009",16500000,"Premier League"
"1410","Martín Cáceres","Right-Back","21","2008-2009",16500000,"LaLiga"
"1411","Jermain Defoe","Centre-Forward","26","2008-2009",16400000,"Premier League"
"1412","Samir Nasri","Left Winger","21","2008-2009",16000000,"Premier League"
"1413","Craig Bellamy","Left Winger","29","2008-2009",15500000,"Premier League"
"1414","Rafael van der Vaart","Attacking Midfield","25","2008-2009",15000000,"LaLiga"
"1415","James Milner","Central Midfield","22","2008-2009",15000000,"Premier League"
"1416","Wilson Palacios","Defensive Midfield","24","2008-2009",15000000,"Premier League"
"1417","Ederson","Attacking Midfield","22","2008-2009",14900000,"Ligue 1"
"1418","Alberto Gilardino","Centre-Forward","26","2008-2009",14000000,"Serie A"
